,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
Amazon,-0.024059834141053567,-0.04817425042088992,-0.05562421702391529,0.08650870966246892,-0.9929882667321358,-0.022290306027737534
Apple,-0.2994989037387357,0.8224386438978217,0.24194788387413005,-0.410652076698943,-0.08198172813511907,0.0004163249479698696
Google,0.5096990556786608,-0.23325140533809635,0.7218506759515877,-0.3982923552098494,-0.07651697368036561,0.01551156653952199
Microsoft,0.24902106754860534,-0.09903574995440667,-0.6183756889151787,-0.7381313077589378,-0.030885823769101317,-0.0004170165274169393
Nvidia,-0.007992031993911049,0.0023101559576117225,-0.01285494120865322,0.00807433834767551,-0.020934322828501422,0.9996309820521481
Samsung,-0.7667157485158648,-0.50700521095756,0.186400180908557,-0.3469024249023053,0.00250422461104335,0.0002933477324325585
