,factor_1,factor_2,factor_3
Amazon,-0.007988428028963459,0.31029942910585095,-0.6282863263470471
Apple,-0.07992613059768613,0.37429580600800566,-0.008912321627770763
Google,-0.0024918619469042054,0.11332393838379536,-0.022949554716920888
Microsoft,-0.008389663867570863,0.8231560266920169,0.4502508189303466
Nvidia,-0.9967277431723289,-0.040325704192607746,0.003469323555125043
Samsung,-0.002282283972341509,0.26751185430288654,-0.6339655703849011
